commit	avg_score	best_score	max_tile	pct_2048	time_sec	status	description
dc27f3d	2159.3	5348	512	0	0.5	baseline	fixed move order, no strategy
415c27f	3354.3	7780	512	0	1.0	keep	greedy: pick move with highest immediate score
af0d743	7597.3	14512	1024	30	5.2	keep	lookahead + board quality heuristics
85c273d	10323.1	23196	2048	2	19.3	keep	2-ply lookahead: evaluate 3 moves ahead
c118cbe	7791.2	14492	1024	0	16.5	discard	improved evaluation: clustering/corner bonus confused strategy
4cf954d	8926.6	16056	1024	0	19.9	discard	improved monotonicity: proper detection confused strategy
2727661	9631.8	16224	1024	0	17.8	discard	increased weights hurt performance; over-emphasizing board quality and lookahead
61695f7	8604.8	15644	1024	0	21.1	discard	proper monotonicity metric: reward genuine increasing/decreasing sequences
9e52066	9477.2	15780	1024	0	17.7	discard	increased lookahead continuation weight hurt performance: 10323→9477
144e38c	8621.0	15344	1024	0	14.4	discard	simplify evaluation: remove monotonicity penalties
d5191cf	PENDING	PENDING	PENDING	PENDING	PENDING	pending	include board quality in 3rd ply lookahead evaluation
